试样编号	施加围压（kPa）	剪应变γ参数	5×10-6	1×10-5	5×10-5	1×10-4	5×10-4	1×10-3	5×10-3	1×10-2
8-7	400	G/Gmax	0.9873	0.9688	0.9359	0.9194	0.8601	0.7678	0.1056	0.0795
8-7	400	λd	0.0157	0.0206	0.0338	0.0426	0.0733	0.0939	0.1425	0.1481
8-8	400	G/Gmax	0.9913	0.9787	0.9589	0.9523	0.9128	0.8469	0.1353	0.0962
8-8	400	λd	0.0075	0.0132	0.0305	0.0404	0.0692	0.0849	0.1261	0.1327
8-9	400	G/Gmax	0.982	0.9688	0.949	0.9359	0.8337	0.636	0.0924	0.0723
8-9	400	λd	0.0215	0.0248	0.0355	0.0437	0.0733	0.0989	0.1524	0.1574
8-10	400	G/Gmax	0.982	0.9523	0.8864	0.8535	0.7415	0.5998	0.0858	0.0655
8-10	400	λd	0.0215	0.0248	0.0366	0.0429	0.0725	0.0989	0.1524	0.1561
8-11	400	G/Gmax	0.9876	0.9721	0.9424	0.926	0.8704	0.7777	0.1023	0.0804
8-11	400	λd	0.0132	0.019	0.0336	0.0412	0.0717	0.0923	0.1368	0.1417
